,date,meantemp,humidity,wind_speed,meanpressure,pretemp,month,monthint,monthint2,model2,model3,model4
1,2013-01-02,7.4,92.0,2.98,1017.8,10.0,01,1,1,9.814792401433202,9.588954077781768,9.5889540777822
2,2013-01-03,7.167,87.0,4.633,1018.667,7.4,01,1,1,8.12831761440735,7.829059359153803,7.8290593591541535
3,2013-01-04,8.667,71.333,1.233,1017.167,7.167,01,1,1,8.833289694485334,9.13827316302113,9.13827316302127
4,2013-01-05,6.0,86.833,3.7,1016.5,8.667,01,1,1,9.081923514585682,8.916209350977098,8.916209350977462
5,2013-01-06,7.0,82.8,1.48,1018.0,6.0,01,1,1,7.418062803624767,7.191585014698114,7.191585014698353
6,2013-01-07,7.0,78.6,6.3,1020.0,7.0,01,1,1,8.200381687207376,8.151305932653916,8.151305932654195
7,2013-01-08,8.857,63.714,7.143,1018.714,7.0,01,1,1,8.905681105562941,9.393535054741067,9.393535054741202
8,2013-01-09,14.0,51.25,12.5,1017.0,8.857,01,1,1,10.697584226372093,11.737259288118597,11.73725928811871
9,2013-01-10,11.0,62.0,7.4,1015.667,14.0,01,1,1,14.047383385518776,15.226282621722541,15.226282621722806
10,2013-01-11,15.714,51.286,10.571,1016.143,11.0,01,1,1,12.305614654136212,13.56435030968568,13.564350309685814
11,2013-01-12,14.0,74.0,13.229,1015.571,15.714,01,1,1,14.51982893883574,15.32918243643877,15.32918243643927
12,2013-01-13,15.833,75.167,4.633,1013.333,14.0,01,1,1,13.485423483560378,14.2177609796364,14.217760979636767
13,2013-01-14,12.833,88.167,0.617,1015.167,15.833,01,1,1,14.296318298918834,14.77113100372857,14.771131003729053
14,2013-01-15,14.714,71.857,0.529,1015.857,12.833,01,1,1,12.929181692843942,13.735854337597699,13.735854337597956
15,2013-01-16,13.833,86.667,0.0,1016.667,14.714,01,1,1,13.579143006488932,14.016965495810412,14.016965495810853
16,2013-01-17,16.5,80.833,5.25,1015.833,13.833,01,1,1,13.067405086733107,13.567147494990904,13.567147494991328
17,2013-01-18,13.833,92.167,8.95,1014.5,16.5,01,1,1,14.327366781728394,14.597959836863362,14.597959836864012
18,2013-01-19,12.5,76.667,5.883,1021.667,13.833,01,1,1,13.25263194052182,13.897067640767396,13.897067640767787
19,2013-01-20,11.286,75.286,8.471,1020.286,12.5,01,1,1,12.276619483800221,12.815399089699156,12.815399089699541
20,2013-01-21,11.2,77.0,2.22,1021.0,11.286,01,1,1,11.50535884033123,11.959156280980334,11.95915628098063
21,2013-01-22,9.5,79.667,3.083,1021.8,11.2,01,1,1,11.285714842358967,11.621327626946007,11.621327626946337
22,2013-01-23,14.0,60.167,4.017,1020.5,9.5,01,1,1,10.984673973010299,11.872674332577736,11.872674332577846
23,2013-01-24,13.833,60.667,6.167,1020.5,14.0,01,1,1,14.150606610050067,15.395947795246668,15.395947795246903
24,2013-01-25,12.25,67.0,5.55,1020.75,13.833,01,1,1,13.737613938605225,14.743087801039716,14.74308780104
25,2013-01-26,12.667,64.167,6.8,1019.667,12.25,01,1,1,12.692977567912198,13.64254515087142,13.642545150871658
26,2013-01-27,12.857,65.571,5.557,1018.143,12.667,01,1,1,12.96383433185631,13.916704489964106,13.916704489964356
27,2013-01-28,14.833,56.0,3.7,1017.833,12.857,01,1,1,13.628255077077789,14.977149804674706,14.97714980467484
28,2013-01-29,14.125,65.5,3.238,1016.625,14.833,01,1,1,14.605705100949306,15.789127812542597,15.789127812542862
29,2013-01-30,14.714,70.429,1.057,1017.857,14.125,01,1,1,13.918075608709056,14.886531716836705,14.886531716836975
30,2013-01-31,16.2,65.6,2.96,1018.4,14.714,01,1,1,14.523194361515298,15.696096770288301,15.69609677028856
31,2013-02-01,16.0,73.0,2.22,1016.0,16.2,02,2,4,16.796178773572183,16.37461358728909,16.374613587289772
32,2013-02-02,16.286,77.571,1.329,1017.143,16.0,02,2,4,16.45423519738611,15.861905643434145,15.86190564343486
33,2013-02-03,18.0,65.571,1.857,1015.286,16.286,02,2,4,17.23439403492241,17.098133557574457,17.09813355757506
34,2013-02-04,17.429,74.286,11.114,1014.571,18.0,02,2,4,17.763214682945602,17.302290562316408,17.30229056231726
35,2013-02-05,16.625,92.375,9.725,1016.375,17.429,02,2,4,16.504130225768392,15.35371833112652,15.353718331127528
36,2013-02-06,16.667,71.333,8.633,1018.667,16.625,02,2,4,16.989228829637135,16.57049377386391,16.570493773864666
37,2013-02-07,15.6,59.4,10.74,1018.6,16.667,02,2,4,17.54118337447634,17.535881125333454,17.535881125334114
38,2013-02-08,14.0,70.429,9.257,1017.143,15.6,02,2,4,16.272803368587887,15.80298448337124,15.802984483371976
39,2013-02-09,15.429,61.286,9.257,1016.857,14.0,02,2,4,15.56404977096927,15.313187418614383,15.31318741861498
40,2013-02-10,15.25,71.5,3.475,1017.125,15.429,02,2,4,16.27350551020364,15.832720091502658,15.832720091503322
41,2013-02-11,15.875,70.5,5.325,1016.5,15.25,02,2,4,16.136443724658697,15.6933507153677,15.693350715368375
42,2013-02-12,15.333,70.333,7.417,1017.5,15.875,02,2,4,16.53285617214469,16.11269313548955,16.112693135490264
43,2013-02-13,16.286,70.143,6.086,1016.0,15.333,02,2,4,16.19073684830412,15.75625160361505,15.756251603615734
44,2013-02-14,17.333,63.833,4.333,1014.167,16.286,02,2,4,17.243939705975787,17.137004538107906,17.13700453810852
45,2013-02-15,19.167,65.333,10.183,1011.667,17.333,02,2,4,17.748780557941142,17.5817354649295,17.581735464930233
46,2013-02-16,14.429,92.714,8.486,1008.0,19.167,02,2,4,17.7830824517969,16.765837356691573,16.765837356692614
47,2013-02-17,13.667,90.0,0.0,1012.667,14.429,02,2,4,14.747671978180279,13.599856046385138,13.599856046385929
48,2013-02-18,15.6,78.4,12.22,1016.2,13.667,02,2,4,14.391817520709262,13.443906574757184,13.443906574757994
49,2013-02-19,15.857,82.0,5.814,1015.714,15.6,02,2,4,15.809928473811212,14.961868946285898,14.96186894628671
50,2013-02-20,17.714,74.714,5.814,1017.0,15.857,02,2,4,16.353745689129994,15.793246583033435,15.793246583034174
51,2013-02-21,20.0,67.286,6.614,1015.429,17.714,02,2,4,18.037844723724287,17.877006737954716,17.877006737955433
52,2013-02-22,20.5,65.625,10.875,1016.0,20.0,02,2,4,19.643163982409202,19.652488685368112,19.652488685368922
53,2013-02-23,17.429,74.857,9.257,1017.0,20.5,02,2,4,19.601099358339173,19.329702978397314,19.329702978398206
54,2013-02-24,16.857,78.857,7.4,1018.857,17.429,02,2,4,17.239245059760627,16.619787780766057,16.61978778076689
55,2013-02-25,16.875,72.875,4.638,1018.25,16.857,02,2,4,17.203702452593134,16.801306186225556,16.80130618622629
56,2013-02-26,17.857,70.0,17.588,1015.143,16.875,02,2,4,16.961404568753718,16.484600061195795,16.484600061196662
57,2013-02-27,20.8,57.2,6.66,1015.2,17.857,02,2,4,18.63527930052759,18.856161687849955,18.856161687850573
58,2013-02-28,19.429,52.857,12.957,1017.429,20.8,02,2,4,20.785403642543073,21.295239584511318,21.29523958451204
59,2013-03-01,17.333,49.333,24.067,1016.333,19.429,03,3,9,20.86940953961341,20.862184727267014,20.862184727267568
60,2013-03-02,19.0,54.0,15.725,1016.25,17.333,03,3,9,19.378901881144024,19.37573549149057,19.375735491491
61,2013-03-03,19.333,62.833,8.633,1016.167,19.0,03,3,9,20.368519304670304,20.092291746576407,20.09229174657689
62,2013-03-04,17.6,71.0,5.56,1015.8,19.333,03,3,9,20.30246719297798,19.758911832477732,19.75891183247827
63,2013-03-05,20.875,61.875,4.163,1016.375,17.6,03,3,9,19.53936295752662,19.400614325615464,19.40061432561584
64,2013-03-06,20.857,65.286,6.871,1015.714,20.875,03,3,9,21.6587954714457,21.264047118294776,21.264047118295323
65,2013-03-07,23.429,57.143,8.729,1015.286,20.857,03,3,9,21.98881442591505,21.868685147515585,21.868685147516068
66,2013-03-08,24.167,44.833,7.1,1014.833,23.429,03,3,9,24.50445714736086,24.788531207375055,24.788531207375456
67,2013-03-09,25.429,49.714,5.286,1009.286,24.167,03,3,9,24.854312534209242,24.963118532096093,24.963118532096544
68,2013-03-10,23.143,57.571,4.229,1008.0,25.429,03,3,9,25.414005937672243,25.212452681446386,25.21245268144694
69,2013-03-11,24.0,66.333,0.933,1011.167,23.143,03,3,9,23.43037965932867,23.01647049255407,23.01647049255461
70,2013-03-12,23.5,62.5,4.933,1011.5,24.0,03,3,9,24.11630321630633,23.763422566329826,23.763422566330398
71,2013-03-13,21.5,70.5,5.55,1009.0,23.5,03,3,9,23.34268476306127,22.700318099712533,22.70031809971318
72,2013-03-14,22.333,61.167,12.033,1013.167,21.5,03,3,9,22.155303970950477,21.822356886077056,21.822356886077635
73,2013-03-15,24.167,45.833,7.717,1016.167,22.333,03,3,9,23.643355327728877,23.91278135071056,23.91278135071095
74,2013-03-16,20.333,67.667,3.7,1016.167,24.167,03,3,9,24.02113078872577,23.490371022638755,23.490371022639373
75,2013-03-17,22.667,58.667,8.95,1015.0,20.333,03,3,9,21.528017001220668,21.363366626743378,21.36336662674386
76,2013-03-18,23.429,58.143,17.457,1009.429,22.667,03,3,9,22.98221611055849,22.651759528229395,22.651759528230045
77,2013-03-19,22.5,73.667,10.483,1011.0,23.429,03,3,9,22.984715656100608,22.158378016513424,22.158378016514167
78,2013-03-20,29.167,36.333,6.8,1009.5,22.5,03,3,9,24.258862961202922,24.886661468249283,24.886661468249564
79,2013-03-21,23.833,58.5,10.5,1008.333,29.167,03,3,9,27.881280658248127,27.452183910104065,27.452183910104814
80,2013-03-22,25.25,50.25,9.712,1006.375,23.833,03,3,9,24.450772802914262,24.48712044444643,24.487120444446937
81,2013-03-23,27.375,50.125,9.95,1007.625,25.25,03,3,9,25.47500422821953,25.47270349509032,25.47270349509087
82,2013-03-24,27.0,48.75,10.888,1010.25,27.375,03,3,9,27.051522408611145,27.026886434892944,27.026886434893544
83,2013-03-25,23.5,45.5,15.962,1010.625,27.0,03,3,9,26.78441817864172,26.818953254719517,26.818953254720146
84,2013-03-26,24.143,44.571,12.957,1008.857,23.5,03,3,9,24.389362533267914,24.59890648311716,24.598906483117634
85,2013-03-27,21.0,62.0,1.85,1009.0,24.143,03,3,9,24.33873969683893,24.043525063343264,24.043525063343793
86,2013-03-28,22.429,62.714,7.414,1009.571,21.0,03,3,9,21.858943688258627,21.547868936293277,21.547868936293796
87,2013-03-29,21.25,70.375,5.55,1009.75,22.429,03,3,9,22.573819340647418,21.96623057888957,21.96623057889019
88,2013-03-30,23.5,54.75,11.112,1008.625,21.25,03,3,9,22.317762915799502,22.241339218555492,22.241339218555986
89,2013-03-31,23.2,58.0,6.66,1008.6,23.5,03,3,9,23.9226225554649,23.725481151739146,23.72548115173968
90,2013-04-01,25.375,45.5,4.4,1008.5,23.2,04,4,16,25.336613942650768,25.255692087998455,25.255692087998966
91,2013-04-02,25.167,51.0,8.65,1009.5,25.375,04,4,16,26.510241625180306,25.96842822828195,25.968428228282587
92,2013-04-03,26.2,45.6,8.14,1009.0,25.167,04,4,16,26.640559184186348,26.323951615525747,26.323951615526315
93,2013-04-04,24.6,41.8,11.12,1007.8,26.2,04,4,16,27.48345252703616,27.17083522150685,27.17083522150744
94,2013-04-05,25.6,31.0,15.56,1007.0,24.6,04,4,16,26.720129122450363,26.889363354839233,26.889363354839734
95,2013-04-06,25.857,29.857,11.9,1006.143,25.6,04,4,16,27.611962023024248,27.78342622746456,27.78342622746503
